Laos,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,-1.2403448275862068,-0.77,,,,
18,1818,-0.46034482758620693,-0.74,,,,
19,1819,-1.180344827586207,-0.71,,,,
20,1820,-0.8803448275862069,-0.69,,,,
21,1821,-0.390344827586207,-0.66,,,,
22,1822,-0.280344827586207,-0.64,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.270344827586207,-0.56,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,-0.35034482758620694,-0.35,,,,
34,1834,-0.35034482758620694,-0.35,,,,
35,1835,-1.160344827586207,-0.35,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,-0.3103448275862069,-0.37,,,,
41,1841,0.09965517241379307,-0.37,,,,
42,1842,-0.1903448275862069,-0.36,,,,
43,1843,-0.13034482758620697,-0.35,,,,
44,1844,-0.6603448275862069,-0.37,,,,
45,1845,-0.7403448275862068,-0.38,,,,
46,1846,-0.24034482758620695,-0.39,,,,
47,1847,-0.6603448275862069,-0.39,,,,
48,1848,-0.700344827586207,-0.39,,,,
49,1849,-0.6003448275862069,-0.4,,,,
50,1850,-0.38034482758620697,-0.37,0.36,0.38,0.44,0.36
51,1851,-0.270344827586207,-0.34,0.36,0.38,0.44,0.36
52,1852,-0.410344827586207,-0.3,0.36,0.38,0.43,0.36
53,1853,0.18965517241379304,-0.27,0.36,0.38,0.43,0.36
54,1854,0.18965517241379304,-0.24,0.36,0.38,0.43,0.36
55,1855,-0.1903448275862069,-0.22,0.36,0.38,0.43,0.35
56,1856,-0.540344827586207,-0.2,0.36,0.38,0.42,0.35
57,1857,,,0.36,0.37,0.42,0.35
58,1858,-0.08034482758620692,-0.18,0.35,0.37,0.42,0.35
59,1859,-0.020344827586206926,-0.16,0.35,0.37,0.42,0.35
60,1860,-0.160344827586207,-0.14,0.35,0.37,0.41,0.35
61,1861,-0.34034482758620693,-0.12,0.35,0.37,0.41,0.35
62,1862,,,0.35,0.37,0.41,0.34
63,1863,-0.3303448275862069,-0.07,0.35,0.36,0.41,0.34
64,1864,-0.4303448275862069,-0.05,0.35,0.36,0.41,0.34
65,1865,0.24965517241379304,-0.02,0.34,0.36,0.4,0.34
66,1866,0.14965517241379306,0.01,0.34,0.36,0.4,0.34
67,1867,0.22965517241379305,0.04,0.34,0.36,0.4,0.34
68,1868,0.31965517241379304,0.08,0.34,0.36,0.4,0.34
69,1869,-0.07034482758620697,0.11,0.34,0.36,0.4,0.34
70,1870,0.09965517241379307,0.13,0.34,0.36,0.41,0.34
71,1871,0.11965517241379303,0.14,0.34,0.36,0.41,0.34
72,1872,0.24965517241379304,0.14,0.34,0.36,0.41,0.34
73,1873,0.09965517241379307,0.15,0.34,0.36,0.41,0.34
74,1874,0.39965517241379306,0.15,0.34,0.35,0.41,0.34
75,1875,-0.06034482758620696,0.14,0.34,0.35,0.41,0.33
76,1876,-0.270344827586207,0.13,0.33,0.35,0.4,0.33
77,1877,0.299655172413793,0.11,0.33,0.34,0.4,0.33
78,1878,0.7196551724137931,0.08,0.33,0.34,0.39,0.32
79,1879,0.33965517241379306,0.04,0.32,0.33,0.38,0.32
80,1880,-0.10034482758620694,-0.0,0.32,0.33,0.38,0.31
81,1881,0.06965517241379304,-0.04,0.32,0.33,0.37,0.31
82,1882,-0.05034482758620695,-0.07,0.32,0.32,0.37,0.31
83,1883,-0.290344827586207,-0.09,0.31,0.32,0.37,0.3
84,1884,-0.6003448275862069,-0.11,0.31,0.32,0.37,0.3
85,1885,-0.270344827586207,-0.13,0.31,0.32,0.37,0.3
86,1886,-0.24034482758620695,-0.15,0.31,0.32,0.36,0.3
87,1887,-0.400344827586207,-0.16,0.31,0.31,0.36,0.3
88,1888,0.03965517241379307,-0.17,0.3,0.31,0.36,0.29
89,1889,0.24965517241379304,-0.16,0.31,0.31,0.36,0.29
90,1890,0.049655172413793025,-0.13,0.31,0.32,0.37,0.3
91,1891,0.03965517241379307,-0.1,0.31,0.32,0.37,0.3
92,1892,-0.530344827586207,-0.07,0.32,0.33,0.38,0.31
93,1893,-0.6603448275862069,-0.05,0.33,0.34,0.4,0.32
94,1894,-0.160344827586207,-0.03,0.34,0.35,0.41,0.33
95,1895,0.06965517241379304,-0.02,0.34,0.36,0.41,0.34
