India,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.20266666666666672,0.52,,,,
1,1801,,,,,,
2,1802,0.41733333333333333,0.36,,,,
3,1803,0.24733333333333332,0.28,,,,
4,1804,0.5073333333333333,0.21,,,,
5,1805,0.1973333333333333,0.13,,,,
6,1806,0.0673333333333333,0.06,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.5426666666666666,-0.45,,,,
14,1814,,,,,,
15,1815,-1.0426666666666666,-0.6,,,,
16,1816,-1.3126666666666666,-0.68,,,,
17,1817,-1.0926666666666667,-0.71,,,,
18,1818,-0.6726666666666665,-0.68,,,,
19,1819,-1.0226666666666666,-0.61,,,,
20,1820,-0.8326666666666667,-0.55,,,,
21,1821,-0.1726666666666667,-0.49,,,,
22,1822,-0.20266666666666672,-0.43,,,,
23,1823,-0.22266666666666673,-0.35,,,,
24,1824,0.15733333333333333,-0.29,,,,
25,1825,-0.1826666666666667,-0.25,,,,
26,1826,0.04733333333333334,-0.22,,,,
27,1827,0.08733333333333332,-0.2,,,,
28,1828,-0.26266666666666666,-0.2,,,,
29,1829,-0.39266666666666666,-0.22,,,,
30,1830,-0.13266666666666665,-0.24,,,,
31,1831,-0.4626666666666667,-0.28,,,,
32,1832,,,,,,
33,1833,-0.21266666666666673,-0.33,,,,
34,1834,-0.1826666666666667,-0.36,,,,
35,1835,-0.9626666666666666,-0.37,,,,
36,1836,-0.4326666666666667,-0.39,,,,
37,1837,-0.5626666666666666,-0.4,,,,
38,1838,-0.4526666666666667,-0.4,,,,
39,1839,-0.4626666666666667,-0.41,,,,
40,1840,-0.24266666666666664,-0.41,,,,
41,1841,-0.49266666666666664,-0.41,,,,
42,1842,-0.24266666666666664,-0.4,,,,
43,1843,-0.4026666666666667,-0.38,,,,
44,1844,-0.6226666666666667,-0.37,,,,
45,1845,-0.36266666666666664,-0.35,,,,
