Malaysia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.03931034482758622,-0.1,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,-0.34931034482758627,-0.23,,,,
41,1841,-0.19931034482758625,-0.25,,,,
42,1842,-0.18931034482758624,-0.25,,,,
43,1843,-0.08931034482758626,-0.25,,,,
44,1844,-0.5893103448275862,-0.24,,,,
45,1845,,,,,,
46,1846,0.04068965517241374,-0.22,,,,
47,1847,-0.4793103448275863,-0.21,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,-0.2793103448275862,-0.18,,,,
51,1851,-0.1493103448275862,-0.17,,,,
52,1852,-0.2593103448275862,-0.15,,,,
53,1853,-0.05931034482758624,-0.14,,,,
54,1854,-0.11931034482758618,-0.12,,,,
55,1855,-0.02931034482758621,-0.11,,,,
56,1856,-0.05931034482758624,-0.1,,,,
57,1857,,,,,,
58,1858,0.05068965517241375,-0.08,,,,
59,1859,0.12068965517241376,-0.07,,,,
60,1860,-0.18931034482758624,-0.05,,,,
61,1861,-0.2993103448275862,-0.03,,,,
62,1862,,,,,,
63,1863,-0.09931034482758627,-0.01,,,,
64,1864,-0.20931034482758626,-0.0,,,,
65,1865,0.09068965517241379,0.0,,,,
66,1866,0.15068965517241378,0.01,,,,
67,1867,0.1606896551724138,0.03,,,,
68,1868,0.24068965517241375,0.04,,,,
69,1869,0.1706896551724138,0.05,,,,
70,1870,-0.1293103448275862,0.05,,,,
71,1871,-0.17931034482758623,0.05,,,,
72,1872,0.06068965517241376,0.04,,,,
73,1873,0.1606896551724138,0.03,,,,
74,1874,0.12068965517241376,0.03,,,,
75,1875,-0.19931034482758625,0.03,,,,
76,1876,-0.1293103448275862,0.03,,,,
77,1877,0.3906896551724138,0.03,,,,
78,1878,0.6706896551724137,0.03,,,,
79,1879,-0.009310344827586192,0.03,,,,
80,1880,0.010689655172413826,0.02,,,,
81,1881,0.07068965517241377,0.02,,,,
82,1882,0.13068965517241377,0.01,,,,
83,1883,0.010689655172413826,0.01,,,,
84,1884,-0.2793103448275862,-0.0,,,,
85,1885,0.14068965517241377,-0.01,,,,
86,1886,-0.09931034482758627,-0.02,,,,
87,1887,-0.46931034482758627,-0.04,,,,
88,1888,0.24068965517241375,-0.05,,,,
89,1889,0.6806896551724138,-0.06,,,,
90,1890,-0.1493103448275862,-0.05,,,,
91,1891,0.2706896551724138,-0.04,,,,
92,1892,-0.21931034482758627,-0.02,,,,
93,1893,-0.30931034482758624,-0.01,,,,
94,1894,-0.1393103448275862,0.02,,,,
95,1895,-0.06931034482758625,0.04,,,,
96,1896,0.3506896551724138,0.07,,,,
97,1897,0.4806896551724138,0.1,,,,
98,1898,0.12068965517241376,0.13,,,,
99,1899,0.010689655172413826,0.16,,,,
100,1900,0.5606896551724138,0.18,,,,
101,1901,0.26068965517241377,0.19,,,,
102,1902,0.18068965517241375,0.19,,,,
103,1903,0.25068965517241376,0.18,,,,
104,1904,-0.16931034482758622,0.16,,,,
105,1905,0.5006896551724138,0.15,,,,
106,1906,0.2306896551724138,0.14,,,,
107,1907,0.04068965517241374,0.13,,,,
108,1908,-0.04931034482758623,0.12,,,,
109,1909,0.1006896551724138,0.12,,,,
110,1910,0.0006896551724138167,0.11,,,,
111,1911,0.1606896551724138,0.1,,,,
112,1912,0.25068965517241376,0.08,,,,
113,1913,-0.06931034482758625,0.07,,,,
114,1914,0.41068965517241374,0.07,,,,
115,1915,0.3906896551724138,0.07,,,,
116,1916,-0.17931034482758623,0.06,,,,
117,1917,-0.2693103448275862,0.06,,,,
118,1918,-0.18931034482758624,0.05,,,,
119,1919,0.3406896551724138,0.04,,,,
120,1920,0.14068965517241377,0.03,,,,
121,1921,-0.02931034482758621,0.04,,,,
122,1922,0.020689655172413723,0.05,,,,
123,1923,-0.02931034482758621,0.07,,,,
124,1924,0.06068965517241376,0.1,,,,
125,1925,-0.10931034482758617,0.13,,,,
126,1926,0.3406896551724138,0.16,,,,
