North Korea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,-0.5393548387096774,-0.27,,,,
21,1821,-0.1893548387096774,-0.27,,,,
22,1822,-0.3393548387096773,-0.28,,,,
23,1823,-0.4593548387096773,-0.29,,,,
24,1824,,,,,,
25,1825,-0.13935483870967735,-0.3,,,,
26,1826,,,,,,
27,1827,0.6606451612903227,-0.32,,,,
28,1828,-0.16935483870967738,-0.33,,,,
29,1829,,,,,,
30,1830,-0.019354838709677358,-0.34,,,,
31,1831,-0.7593548387096773,-0.35,,,,
32,1832,-0.6693548387096773,-0.36,,,,
33,1833,-0.40935483870967737,-0.38,,,,
34,1834,-0.029354838709677367,-0.39,,,,
35,1835,-0.8193548387096774,-0.4,,,,
36,1836,-0.5093548387096773,-0.41,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,-0.7293548387096773,-0.32,,,,
40,1840,-0.019354838709677358,-0.29,,,,
41,1841,-1.0493548387096774,-0.24,,,,
42,1842,-0.24935483870967734,-0.19,,,,
43,1843,0.11064516129032265,-0.13,,,,
44,1844,-0.039354838709677376,-0.07,,,,
45,1845,0.00064516129032266,-0.03,,,,
46,1846,0.20064516129032267,-0.0,,,,
47,1847,0.38064516129032266,0.02,,,,
48,1848,0.4606451612903226,0.05,,,,
49,1849,0.44064516129032266,0.06,,,,
50,1850,-0.10935483870967733,0.06,,,,
51,1851,-0.4393548387096774,0.06,,,,
52,1852,-0.4393548387096774,0.05,,,,
53,1853,-0.16935483870967738,0.03,,,,
54,1854,0.08064516129032268,-0.0,,,,
55,1855,0.5306451612903227,-0.04,,,,
56,1856,0.05064516129032265,-0.06,,,,
57,1857,-0.0793548387096773,-0.06,,,,
58,1858,0.29064516129032264,-0.06,,,,
59,1859,0.11064516129032265,-0.06,,,,
60,1860,-0.8893548387096772,-0.06,,,,
61,1861,-0.5793548387096774,-0.07,,,,
62,1862,-0.4293548387096774,-0.07,,,,
63,1863,0.44064516129032266,-0.07,,,,
64,1864,-0.13935483870967735,-0.06,,,,
65,1865,0.00064516129032266,-0.04,,,,
66,1866,-0.1993548387096773,-0.02,,,,
67,1867,0.26064516129032267,0.0,,,,
68,1868,0.22064516129032263,0.02,,,,
69,1869,0.3206451612903226,0.04,,,,
70,1870,-0.019354838709677358,0.07,,,,
71,1871,-0.019354838709677358,0.09,,,,
72,1872,-0.1993548387096773,0.11,,,,
73,1873,-0.48935483870967733,0.13,,,,
74,1874,0.25064516129032266,0.13,,,,
75,1875,0.3906451612903227,0.13,,,,
76,1876,0.5906451612903226,0.13,,,,
77,1877,0.34064516129032263,0.12,,,,
78,1878,-0.009354838709677349,0.11,,,,
79,1879,0.26064516129032267,0.09,,,,
80,1880,0.07064516129032267,0.06,,,,
81,1881,-0.10935483870967733,0.02,,,,
82,1882,0.18064516129032265,-0.03,,,,
83,1883,-0.15935483870967737,-0.08,,,,
84,1884,-1.0193548387096774,-0.12,,,,
85,1885,-0.38935483870967735,-0.16,,,,
86,1886,0.17064516129032264,-0.2,,,,
87,1887,-0.019354838709677358,-0.23,,,,
88,1888,-0.22935483870967732,-0.26,,,,
89,1889,-0.6393548387096772,-0.28,,,,
90,1890,1.0906451612903227,-0.29,,,,
91,1891,0.04064516129032264,-0.28,,,,
92,1892,-0.7693548387096774,-0.25,,,,
93,1893,-0.7793548387096774,-0.22,,,,
94,1894,0.9506451612903226,-0.19,,,,
95,1895,-0.6693548387096773,-0.16,,,,
96,1896,-0.1893548387096774,-0.12,,,,
97,1897,-0.12935483870967734,-0.07,,,,
98,1898,0.8206451612903227,-0.03,,,,
99,1899,0.6506451612903227,0.01,,,,
100,1900,0.06064516129032266,0.04,,,,
101,1901,-0.10935483870967733,0.06,,,,
102,1902,0.08064516129032268,0.06,,,,
103,1903,0.23064516129032264,0.04,,,,
104,1904,-0.26935483870967736,0.0,,,,
105,1905,0.3206451612903226,-0.05,,,,
106,1906,-0.2893548387096774,-0.11,,,,
107,1907,0.12064516129032266,-0.15,,,,
108,1908,-0.2093548387096773,-0.19,,,,
109,1909,-0.3593548387096773,-0.22,,,,
110,1910,-0.5393548387096774,-0.25,,,,
111,1911,-0.1793548387096774,-0.27,,,,
112,1912,-0.5193548387096774,-0.27,,,,
113,1913,-0.5493548387096774,-0.26,,,,
114,1914,0.9506451612903226,-0.23,,,,
115,1915,-0.38935483870967735,-0.19,,,,
