Sweden,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.11419354838709683,-0.08,,,,
1,1801,0.2858064516129032,-0.1,,,,
2,1802,-0.03419354838709676,-0.12,,,,
3,1803,-0.4241935483870968,-0.14,,,,
4,1804,-0.22419354838709682,-0.15,,,,
5,1805,-0.8741935483870967,-0.17,,,,
6,1806,0.2458064516129032,-0.19,,,,
7,1807,-0.024193548387096864,-0.2,,,,
8,1808,0.015806451612903172,-0.22,,,,
9,1809,-0.6041935483870967,-0.23,,,,
10,1810,-0.6941935483870968,-0.22,,,,
11,1811,0.6758064516129032,-0.2,,,,
12,1812,-1.214193548387097,-0.17,,,,
13,1813,0.5058064516129032,-0.14,,,,
14,1814,-0.8341935483870969,-0.1,,,,
15,1815,0.2758064516129032,-0.05,,,,
16,1816,-0.6941935483870968,0.0,,,,
17,1817,-0.0841935483870968,0.07,,,,
18,1818,0.6358064516129032,0.16,,,,
19,1819,0.7558064516129032,0.24,,,,
20,1820,-0.4241935483870968,0.32,,,,
21,1821,0.06580645161290322,0.39,,,,
22,1822,1.6758064516129032,0.43,,,,
23,1823,0.13580645161290317,0.44,,,,
24,1824,0.7358064516129033,0.45,,,,
25,1825,0.8458064516129031,0.45,,,,
26,1826,1.9258064516129032,0.46,,,,
27,1827,0.3358064516129032,0.46,,,,
28,1828,0.2358064516129032,0.46,,,,
29,1829,-1.214193548387097,0.43,,,,
30,1830,-0.11419354838709683,0.37,,,,
31,1831,0.4358064516129032,0.29,,,,
32,1832,0.8058064516129032,0.21,,,,
33,1833,0.5258064516129032,0.14,,,,
34,1834,0.9858064516129033,0.09,,,,
35,1835,0.0458064516129032,0.06,,,,
36,1836,-0.4741935483870968,0.05,,,,
37,1837,-0.2141935483870968,0.03,,,,
38,1838,-1.3941935483870966,0.01,,,,
39,1839,-0.27419354838709686,-0.02,,,,
40,1840,-0.11419354838709683,-0.05,,,,
41,1841,0.05580645161290321,-0.06,,,,
42,1842,0.8958064516129032,-0.06,,,,
43,1843,0.3458064516129032,-0.03,,,,
44,1844,-0.9541935483870968,0.0,,,,
45,1845,-0.41419354838709677,0.04,,,,
46,1846,0.9658064516129032,0.08,,,,
47,1847,0.3358064516129032,0.1,,,,
48,1848,-0.014193548387096855,0.11,,,,
49,1849,-0.4641935483870968,0.11,,,,
50,1850,-0.17419354838709677,0.11,,,,
51,1851,0.5258064516129032,0.12,,,,
52,1852,0.4258064516129032,0.14,,,,
53,1853,0.2758064516129032,0.16,,,,
54,1854,0.8258064516129031,0.17,,,,
55,1855,-0.7341935483870968,0.18,,,,
56,1856,-1.024193548387097,0.18,,,,
57,1857,0.6258064516129032,0.17,,,,
58,1858,0.9258064516129032,0.15,,,,
59,1859,0.7658064516129032,0.11,,,,
60,1860,-0.7341935483870968,0.08,,,,
61,1861,0.4858064516129032,0.06,,,,
62,1862,-0.5241935483870969,0.04,,,,
63,1863,1.305806451612903,0.02,,,,
64,1864,-0.8541935483870967,-0.01,,,,
65,1865,-0.0741935483870968,-0.03,,,,
66,1866,-0.09419354838709681,-0.04,,,,
67,1867,-1.874193548387097,-0.04,,,,
68,1868,0.7458064516129032,-0.04,,,,
69,1869,0.1658064516129032,-0.05,,,,
70,1870,-0.3141935483870968,-0.06,,,,
71,1871,-1.464193548387097,-0.06,,,,
72,1872,1.0658064516129033,-0.06,,,,
73,1873,0.8158064516129032,-0.06,,,,
74,1874,0.5258064516129032,-0.06,,,,
75,1875,-0.8941935483870967,-0.04,,,,
76,1876,-0.5441935483870969,-0.02,,,,
77,1877,-0.8741935483870967,0.01,,,,
78,1878,0.8358064516129031,0.04,,,,
79,1879,-0.37419354838709684,0.06,,,,
80,1880,0.2358064516129032,0.08,,,,
81,1881,-1.314193548387097,0.11,,,,
82,1882,0.9958064516129033,0.15,,,,
83,1883,0.9558064516129032,0.21,,,,
84,1884,0.6958064516129032,0.27,,,,
85,1885,-0.37419354838709684,0.3,,,,
86,1886,0.4158064516129032,0.32,,,,
87,1887,0.5158064516129032,0.33,,,,
88,1888,-1.314193548387097,0.33,,,,
89,1889,0.8358064516129031,0.33,,,,
90,1890,1.0958064516129031,0.34,,,,
91,1891,0.7158064516129032,0.34,,,,
92,1892,-0.7441935483870968,0.34,,,,
93,1893,-0.7841935483870969,0.33,,,,
94,1894,1.4558064516129032,0.31,,,,
95,1895,-0.09419354838709681,0.29,,,,
96,1896,1.015806451612903,0.26,,,,
97,1897,0.6558064516129032,0.24,,,,
98,1898,0.4558064516129032,0.23,,,,
99,1899,-0.4241935483870968,0.23,,,,
100,1900,-0.5141935483870969,0.25,,,,
101,1901,0.7858064516129032,0.26,,,,
102,1902,-1.1241935483870966,0.26,,,,
103,1903,0.7058064516129032,0.27,,,,
104,1904,-0.10419354838709682,0.29,,,,
105,1905,0.4258064516129032,0.32,,,,
106,1906,0.9058064516129032,0.37,,,,
107,1907,0.4458064516129032,0.43,,,,
108,1908,0.4458064516129032,0.48,,,,
109,1909,-0.24419354838709684,0.5,,,,
110,1910,1.1258064516129032,0.5,,,,
111,1911,1.1058064516129031,0.48,,,,
112,1912,0.07580645161290317,0.46,,,,
113,1913,0.9358064516129032,0.45,,,,
114,1914,1.4158064516129032,0.44,,,,
115,1915,-1.334193548387097,0.42,,,,
